"","rank","name","net_worth","age","country","source","industry","citizenship","education"
"670",659,"Lynsi Snyder",4.2,40,"United States","In-N-Out Burger","Food & Beverage","United States",NA
"671",659,"Djoko Susanto",4.2,73,"Indonesia","Supermarkets","Fashion & Retail","Indonesia",NA
"672",659,"Tahir & family",4.2,71,"Indonesia","Diversified","Diversified","Indonesia","Master of Business Administration, Golden Gate University; Bachelor of Arts/Science, Nan Yang University"
"673",659,"Peter Thiel",4.2,55,"United States","Facebook, investments","Finance & Investments",NA,NA
"674",679,"Andrej Babis",4.1,68,"Czech Republic","Agriculture","Food & Beverage","Czech Republic","Master, University of Economics in Bratislava (UEB)"
"675",679,"Danielle Bellon & family",4.1,83,"France","Food services","Service","France",NA
"676",679,"Hubert Burda",4.1,83,"Germany","Publishing","Media & Entertainment","Germany","Bachelor of Arts/Science, Ludwig Maxmilian University"
"677",679,"Nick Caporella",4.1,87,"United States","Beverages","Food & Beverage","United States",NA
"678",679,"John Catsimatidis",4.1,74,"United States","Oil, real estate","Energy","United States","Drop Out, New York University"
"679",679,"Scott Cook",4.1,70,"United States","Software","Technology","United States","Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, University of Southern California"
"680",679,"Luca Garavoglia",4.1,54,"Italy","Spirits","Food & Beverage","Italy","Bachelor of Commerce, Bocconi University"
"681",679,"Antti Herlin",4.1,66,"Finland","Elevators, escalators","Manufacturing","Finland",NA
"682",679,"Hong Jie",4.1,55,"China","Paint","Manufacturing","China",NA
"683",679,"Jeremy Jacobs, Sr. & family",4.1,83,"United States","Food service","Service","United States","Bachelor of Arts/Science, SUNY Buffalo"
"684",679,"Igor Kesaev",4.1,56,"Russia","Tobacco distribution, retail","Fashion & Retail","Russia","Master, Moscow Institute of International Relations"
"685",679,"Mary Alice Dorrance Malone",4.1,73,"United States","Campbell Soup","Food & Beverage","United States","Bachelor of Arts/Science, University of Arizona"
"686",679,"Joao Moreira Salles",4.1,61,"Brazil","Banking, minerals","Diversified","Brazil",NA
"687",679,"Walther Moreira Salles Junior",4.1,66,"Brazil","Banking, minerals","Finance & Investments","Brazil","Bachelor of Arts/Science, University of Southern California"
"688",679,"Arturo Moreno",4.1,76,"United States","Billboards, Los Angeles Angels","Sports","United States","Bachelor of Arts/Science, University of Arizona"
"689",679,"Peter Spuhler",4.1,63,"Switzerland","Train cars","Manufacturing","Switzerland",NA
"690",679,"Donald Sterling",4.1,88,"United States","Real estate","Real Estate","United States","Bachelor of Arts/Science, California State Los Angeles; Doctor of Jurisprudence, Southwestern Law School"
"691",679,"Kerry Stokes",4.1,82,"Australia","Construction equipment, media","Diversified","Australia",NA
"692",679,"Ken Xie",4.1,60,"United States","Cybersecurity","Technology","United States","Master of Science, Stanford University; Bachelor of Science, Tsinghua University; Master of Science, Tsinghua University"
"693",679,"Liangzhi Xie & family",4.1,57,"China","Biotech","Healthcare","China","Ph.D, Massachusetts Institute of Technology"
"694",699,"Sid Bass",4,80,"United States","Oil, investments","Energy","United States","Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University"
"695",699,"Ben Chestnut",4,48,"United States","Email marketing","Technology","United States","Bachelor of Arts/Science, Georgia Institute of Technology"
"696",699,"Elisabeth DeLuca & family",4,75,"United States","Subway","Food & Beverage","United States",NA
"697",699,"Guangchang Guo",4,56,"China","Conglomerate","Diversified","China","Bachelor of Arts/Science, Fudan University; Master of Business Administration, Fudan University"
"698",699,"Vinod Rai Gupta",4,77,"India","Electrical equipment","Manufacturing","India",NA
"699",699,"John Henry",4,73,"United States","Sports","Sports","United States",NA
"700",699,"Travis Kalanick",4,46,"United States","Uber","Technology","United States","Drop Out, University of California, Los Angeles"
"701",699,"Koon Poh Keong",4,61,"Malaysia","Aluminum","Manufacturing","Malaysia","Bachelor of Engineering, University of Oklahoma"
"702",699,"Dan Kurzius",4,51,"United States","Email marketing","Technology","United States","High School Graduate, High School"
"703",699,"Paul Lee",4,65,"United States","Battery separators","Manufacturing","United States","Master of Science, University of Massachusetts"
"704",699,"Tobi Lutke",4,42,"Canada","E-commerce","Technology","Canada",NA
"705",699,"Gail Miller",4,79,"United States","Car dealerships","Automotive","United States","Drop Out, University of Utah"
"706",699,"Rajan Mittal",4,63,"India","Telecom","Telecom","India","Bachelor of Arts/Science, Punjab University"
"707",699,"Rakesh Mittal",4,67,"India","Telecom","Telecom","India","Bachelor of Arts/Science, Punjab University"
"708",699,"Isaac Perlmutter",4,80,"United States","Marvel comics","Media & Entertainment","United States","High School Graduate, High School"
"709",699,"Bernard Saul, II.",4,90,"United States","Banking, real estate","Finance & Investments","United States","LLB, University of Virginia; Bachelor of Arts/Science, Villanova University"
"710",699,"Shaul Shani",4,68,"Israel","Telecom","Telecom","Israel",NA
"711",699,"Steven Spielberg",4,76,"United States","Movies","Media & Entertainment","United States","Bachelor of Arts/Science, California State Long Beach"
"712",699,"Jerzy Starak",4,75,"Poland","Pharmaceuticals","Healthcare","Poland",NA
"713",699,"Torbjorn Tornqvist",4,69,"Sweden","Oil trading","Energy","Sweden","Graduate, Stockholm University"
"714",699,"Rufino Vigil Gonzalez",4,74,"Mexico","Steel","Metals & Mining","Mexico","Bachelor of Arts/Science, Universidad Iberoamericana"
"715",699,"Zhang Daocai",4,73,"China","Valves","Diversified","China",NA
"716",721,"Juergen Blickle",3.9,76,"Germany","Auto parts","Manufacturing","Germany",NA
"717",721,"Austen Cargill, II.",3.9,72,"United States","Cargill","Food & Beverage","United States","Doctorate, Oregon State University; Bachelor of Arts/Science, University of Minnesota; Master of Science, University of Minnesota"
"718",721,"James Cargill, II.",3.9,73,"United States","Cargill","Food & Beverage","United States",NA
"719",721,"Vanich Chaiyawan",3.9,91,"Thailand","Insurance, beverages","Finance & Investments","Thailand",NA
"720",721,"Dongsheng Chen",3.9,65,"China","Insurance","Finance & Investments","China",NA
"721",721,"Mong-Koo Chung",3.9,85,"South Korea","Hyundai","Automotive","South Korea","Bachelor of Arts/Science, Hanyang University"
"722",721,"Kenneth Dart",3.9,67,"Belize","Investments","Finance & Investments","Belize","Bachelor of Engineering, University of Michigan"
"723",721,"Giuseppe De'Longhi & family",3.9,83,"Italy","Coffee makers","Fashion & Retail","Italy","Bachelor of Arts/Economics, Università Cà Foscari di Venezia"
"724",721,"Guenther Fielmann & family",3.9,83,"Germany","Optometry","Healthcare","Germany",NA
"725",721,"W. Herbert Hunt",3.9,94,"United States","Oil","Energy","United States","Bachelor of Arts/Science, Washington & Lee University"
"726",721,"James Irsay",3.9,63,"United States","Indianapolis Colts","Sports","United States","Bachelor of Arts/Science, Southern Methodist University"
"727",721,"Marianne Liebmann",3.9,69,"United States","Cargill","Food & Beverage","United States","Bachelor of Arts/Science, Montana State University"
"728",721,"Jorge Moll Filho & family",3.9,78,"Brazil","Hospitals","Healthcare","Brazil","Masters of Public Health, Universidade Federal do Rio de Janeiro"
"729",721,"Fernando Roberto Moreira Salles",3.9,76,"Brazil","Banking, minerals","Diversified","Brazil","Bachelor of Arts/Science, Fundacao Getulio Vargas"
"730",721,"Pedro Moreira Salles",3.9,63,"Brazil","Banking, minerals","Diversified","Brazil","Bachelor of Arts/Science, University of California, Los Angeles"
"731",721,"Gabe Newell",3.9,60,"United States","Videogames","Gambling & Casinos","United States","Drop Out, Harvard University"
"732",721,"Alfred Oetker",3.9,56,"Germany","Consumer goods","Fashion & Retail","Germany",NA
"733",721,"Carl Ferdinand Oetker",3.9,50,"Germany","Consumer goods","Fashion & Retail","Germany",NA
"734",721,"Julia Oetker",3.9,44,"Germany","Consumer goods","Fashion & Retail","Germany",NA
"735",721,"Ruan Hongliang & family",3.9,62,"China","Glass","Manufacturing","China",NA
"736",721,"Mark Stevens",3.9,63,"United States","Venture capital","Finance & Investments","United States","Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Southern California; Master of Science, University of Southern California"
"737",721,"Tsai Hong-tu",3.9,70,"Taiwan","Finance","Finance & Investments","Taiwan","Law Degree, National Taiwan University; Ph.D, Southern Methodist University"
"738",721,"Nusli Wadia",3.9,79,"India","Consumer goods","Food & Beverage","India",NA
"739",721,"Wu Yiling",3.9,73,"China","Pharmaceuticals","Healthcare","China","Medical Doctor, Hebei Medical University; Medical Doctor, Nanjing University of Chinese Medicine"
"740",721,"Yu Renrong",3.9,57,"China","Semiconductors","Manufacturing","China","Bachelor of Science in Engineering, Tsinghua University"
"741",721,"Zhu Baoguo & family",3.9,60,"China","Pharmaceuticals","Healthcare","China","Bachelor of Arts/Science, Henan Normal University"
"742",748,"Rahul Bhatia",3.8,63,"India","Aviation","Service","India","Master of Science, University of Waterloo"
"743",748,"Francesco Gaetano Caltagirone",3.8,80,"Italy","Cement, diversified","Construction & Engineering","Italy",NA
"744",748,"Barry Diller",3.8,81,"United States","Online media","Media & Entertainment","United States","Drop Out, University of California, Los Angeles"
"745",748,"Wesley Edens",3.8,61,"United States","Investments","Finance & Investments","United States","Bachelor of Arts/Science, Oregon State University"
"746",748,"Stephen Feinberg",3.8,63,"United States","Private equity","Finance & Investments","United States","Bachelor of Arts/Science, Princeton University"
"747",748,"Rakesh Gangwal",3.8,69,"United States","Airline","Service","United States","Bachelor of Science in Engineering, Indian Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School"
"748",748,"Joseph Grendys",3.8,61,"United States","Poultry processing","Food & Beverage","United States","Bachelor of Arts/Science, Loyola University Chicago"
"749",748,"Martha Ingram & family",3.8,87,"United States","Book distribution, transportation","Media & Entertainment","United States","Bachelor of Arts/Science, Vassar College"
"750",748,"Li Xiang",3.8,41,"China","Electric vehicles","Automotive","China",NA
"751",748,"H. Ross Perot, Jr.",3.8,64,"United States","Real estate","Real Estate","United States","Bachelor of Arts/Science, Vanderbilt University"
"752",748,"Chandru Raheja",3.8,82,"India","Real estate","Real Estate","India","LLB, University of Mumbai"
"753",748,"Trevor Rees-Jones",3.8,71,"United States","Oil & gas","Energy","United States","Bachelor of Arts/Science, Dartmouth College; Doctor of Jurisprudence, Southern Methodist University"
"754",748,"Yasumitsu Shigeta",3.8,58,"Japan","Mobile phone retailer","Telecom","Japan","Drop Out, Nihon University"
"755",748,"Su Qingcan",3.8,54,"China","Healthcare","Healthcare","China",NA
"756",748,"Tsai Cheng-ta",3.8,73,"Taiwan","Finance","Finance & Investments","Taiwan","Chinese Culture University"
"757",748,"Steven Udvar-Hazy",3.8,77,"United States","Aircraft leasing","Service","United States","Bachelor of Arts/Science, University of California, Los Angeles"
"758",748,"Elizabeth Uihlein",3.8,77,"United States","Packaging materials","Manufacturing","United States",NA
"759",748,"Richard Uihlein",3.8,77,"United States","Packaging materials","Manufacturing","United States","Bachelor of Arts/Science, Stanford University"
"760",766,"Hayes Barnard",3.7,51,"United States","Fintech","Finance & Investments","United States","Bachelor of Business Administration, University of Missouri"
"761",766,"William Berkley",3.7,76,"United States","Insurance","Finance & Investments","United States","Master of Business Administration, Harvard University; Bachelor of Arts/Science, New York University"
"762",766,"Charles Cohen",3.7,71,"United States","Real estate","Real Estate","United States","Doctor of Jurisprudence, Brooklyn Law School; Bachelor of Arts/Science, Tufts University"
"763",766,"Yakir Gabay",3.7,56,"Cyprus","Real estate","Real Estate","Cyprus",NA
"764",766,"Huang Li",3.7,59,"China","Imaging systems","Technology","China","Master of Science, Huazhong University of Science and Technology"
"765",766,"Brad Jacobs",3.7,66,"United States","Logistics","Logistics","United States","Drop Out, Brown University"
"766",766,"Ji Qi",3.7,56,"China","Hotels, motels","Real Estate","China","Bachelor of Engineering, Shanghai Jiao Tong University; Master of Science in Engineering, Shanghai Jiao Tong University"
"767",766,"Jason Jiang",3.7,50,"China","Advertising","Media & Entertainment","China","Bachelor of Arts/Science, Huadong Normal University; Bachelor of Arts/Science, Huadong Normal University"
"768",766,"Jim Kavanaugh",3.7,60,"United States","IT provider","Technology","United States","Bachelor of Arts/Science, St. Louis University"
"769",766,"Richard LeFrak & family",3.7,77,"United States","Real estate","Real Estate","United States","Bachelor of Arts/Science, Amherst College; Doctor of Jurisprudence, Columbia University"
"770",766,"Mikhail Lomtadze",3.7,47,"Georgia","Fintech","Finance & Investments","Georgia","Master of Business Administration, Harvard Business School"
"771",766,"Tom Morris",3.7,68,"United Kingdom","Retail","Fashion & Retail","United Kingdom",NA
"772",766,"Shigenobu Nagamori",3.7,78,"Japan","Motors","Manufacturing","Japan",NA
"773",766,"Daniel Och",3.7,62,"United States","Hedge funds","Finance & Investments","United States","Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
"774",766,"Horst Paulmann & family",3.7,88,"Chile","Retail","Fashion & Retail","Chile",NA
"775",766,"Anthony Pritzker",3.7,62,"United States","Hotels, investments","Service","United States","Bachelor of Arts/Science, Dartmouth College"
"776",766,"John Sall",3.7,75,"United States","Software","Technology","United States","Bachelor of Arts/Science, Beloit College; Master of Arts, Northern Illinois University"
"777",766,"Howard Schultz",3.7,69,"United States","Starbucks","Food & Beverage","United States","Bachelor of Arts/Science, Northern Michigan University"
"778",766,"Richard Schulze",3.7,82,"United States","Best Buy","Fashion & Retail","United States","Diploma, High School"
"779",766,"Yitzhak Tshuva",3.7,74,"Israel","Real estate","Real Estate","Israel",NA
"780",766,"Wang Yanqing & family",3.7,56,"China","Electrical equipment","Manufacturing","China",NA
"781",787,"Rajiv Bajaj",3.6,56,"India","Diversified","Diversified","India","Bachelor of Engineering, Pune University; Master of Science in Engineering, The University of Warwick"
"782",787,"Sanjiv Bajaj",3.6,53,"India","Diversified","Diversified","India","Master of Business Administration, Harvard Business School; Bachelor of Engineering, Pune University; Master of Science in Engineering, The University of Warwick"
"783",787,"Leonid Boguslavsky",3.6,71,"Canada","Venture capital","Finance & Investments","Canada","Master of Science, Moscow Institute for Transport Engineering"
"784",787,"Jim Coulter",3.6,63,"United States","Private equity","Finance & Investments","United States","Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Stanford University"
"785",787,"Nicolas D'Ieteren",3.6,47,"Belgium","Auto parts, distribution","Automotive","Belgium",NA
"786",787,"Beatriz Davila de Santo Domingo",3.6,84,"Colombia","Beer","Food & Beverage","Colombia",NA
"787",787,"Bob Gaglardi",3.6,82,"Canada","Hotels","Real Estate","Canada","Bachelor of Engineering, Letourneau College"
"788",787,"Jaime Gilinski Bacal",3.6,65,"Colombia","Banking","Finance & Investments","Colombia","Master of Business Administration, Harvard Business School"
"789",787,"Pansy Ho",3.6,60,"Hong Kong","Casinos","Gambling & Casinos","Hong Kong","Bachelor of Arts/Science, University of Santa Clara"
"790",787,"Alan Howard",3.6,59,"United Kingdom","Hedge funds","Finance & Investments","United Kingdom","Master of Science, Imperial College London"
"791",787,"Huang Yi",3.6,61,"Hong Kong","Car dealerships","Automotive","Hong Kong","Bachelor of Arts/Science, Xiamen University"
"792",787,"Peter Kellogg",3.6,80,"United States","Investments","Finance & Investments","United States","Bachelor of Arts/Science, Babson College"
"793",787,"Vyacheslav Kim",3.6,53,"Kazakhstan","Fintech","Finance & Investments","Kazakhstan",NA
"794",787,"Josh Kushner",3.6,37,"United States","Venture capital","Finance & Investments","United States","Bachelor of Arts/Science, Harvard; Master of Business Administration, Harvard Business School"
"795",787,"Samuel Tak Lee",3.6,83,"Hong Kong","Real estate","Real Estate","Hong Kong","Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Massachusetts Institute of Technology"
"796",787,"Edwin Leong",3.6,71,"Hong Kong","Real estate","Real Estate","Hong Kong",NA
"797",787,"Stephen Mandel, Jr.",3.6,67,"United States","Hedge funds","Finance & Investments","United States","Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard University; Diploma, Phillips Academy Exeter"
"798",787,"Mohamed Mansour",3.6,75,"Egypt","Diversified","Diversified","Egypt","Master of Business Administration, Auburn University; Bachelor of Science, North Carolina State University"
"799",787,"Masahiro Miki",3.6,67,"Japan","Shoes","Fashion & Retail","Japan","Bachelor of Arts/Science, Toho Gakuen tanki University"
"800",787,"Masahiro Noda",3.6,84,"Japan","Software","Technology","Japan","Bachelor of Arts/Economics, Kansai University"
"801",787,"Cliff Obrecht",3.6,37,"Australia","Software","Technology","Australia","Bachelor of Arts/Science, University of Western Australia"
"802",787,"Melanie Perkins",3.6,35,"Australia","Software","Technology","Australia","Drop Out, University of Western Australia"
"803",787,"J.B. Pritzker",3.6,58,"United States","Hotels, investments","Finance & Investments","United States","Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, Northwestern University"
"804",787,"Juan Roig",3.6,73,"Spain","Supermarkets","Fashion & Retail","Spain",NA
"805",787,"Jerry Speyer",3.6,82,"United States","Real estate","Real Estate","United States","Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Columbia University"
"806",787,"Lawrence Stroll",3.6,63,"Canada","Fashion investments","Fashion & Retail","Canada",NA
"807",787,"Tung Chee Chen",3.6,80,"Hong Kong","Shipping","Logistics","Hong Kong","Master of Science, Massachusetts Institute of Technology; Bachelor of Arts/Science, University of Liverpool"
"808",787,"Wang Junlin",3.6,60,"China","Liquor","Food & Beverage","China",NA
"809",787,"Xia Zuoquan",3.6,61,"China","Automobiles, batteries","Automotive","China",NA
"810",787,"Zeng Fangqin",3.6,57,"China","Smartphone components","Technology","China",NA
"811",787,"Zhang Jian",3.6,54,"China","Electric bikes, scooters","Manufacturing","China",NA
"812",818,"Rocco Basilico",3.5,33,"Italy","Eyeglasses","Fashion & Retail","Italy","Bachelor of Arts/Economics, Catholic University of the Sacred Heart"
"813",818,"Maurizio Billi",3.5,65,"Brazil","Generic drugs","Healthcare","Brazil",NA
"814",818,"Fashu Chen",3.5,62,"China","Investments","Finance & Investments","China","China Europe International Business School"
"815",818,"Giuseppe Crippa & family",3.5,87,"Italy","Microchip testing","Manufacturing","Italy",NA
"816",818,"Daniel D'Aniello",3.5,76,"United States","Private equity","Finance & Investments","United States","Master of Business Administration, Harvard University; Bachelor of Arts/Science, Syracuse University"
"817",818,"Claudio Del Vecchio",3.5,66,"Italy","Eyeglasses","Fashion & Retail","Italy",NA
"818",818,"Clemente Del Vecchio",3.5,18,"Italy","Eyeglases","Fashion & Retail","Italy",NA
"819",818,"Leonardo Maria Del Vecchio",3.5,27,"Italy","Eyeglasses","Fashion & Retail","Italy","Bachelor of Business Administration, Bocconi Univerisity"
"820",818,"Luca Del Vecchio",3.5,21,"Italy","Eyeglasses","Fashion & Retail","Italy",NA
"821",818,"Marisa Del Vecchio",3.5,64,"Italy","Eyeglasses","Fashion & Retail","Italy",NA
"822",818,"Paola Del Vecchio",3.5,61,"Italy","Eyeglasses","Fashion & Retail","Italy",NA
"823",818,"Walter P.J. Droege",3.5,70,"Germany","Investing","Finance & Investments","Germany",NA
"824",818,"Fan Daidi",3.5,57,"China","Skincare","Fashion & Retail","China",NA
"825",818,"Peter Gassner",3.5,58,"United States","Software","Technology","United States","Bachelor of Science, Oregon State University"
"826",818,"Mikhail Gutseriev",3.5,65,"Russia","Oil, coal, real estate","Energy","Russia","Bachelor of Arts/Science, Kazakh Technological Institute"
"827",818,"Patrick Lee",3.5,81,"Hong Kong","Paper","Manufacturing","Hong Kong",NA
"828",818,"Leng Youbin",3.5,54,"China","Infant formula","Food & Beverage","China","Bachelor of Arts/Science, Northeast Agriculture University; EMBA, Peking University"
"829",818,"Daniel Loeb",3.5,61,"United States","Hedge funds","Finance & Investments","United States","Bachelor of Arts/Science, Columbia University"
"830",818,"Margarita Louis-Dreyfus & family",3.5,60,"Switzerland","Commodities","Food & Beverage","Switzerland",NA
"831",818,"Prasert Prasarttong-Osoth",3.5,90,"Thailand","Hospitals","Healthcare","Thailand",NA
"832",818,"Ira Rennert",3.5,88,"United States","Investments","Finance & Investments","United States","Bachelor of Arts/Science, Brooklyn College; Master of Business Administration, Leonard N. Stern School of Business"
"833",818,"Dirk Rossmann & family",3.5,76,"Germany","Drugstores","Fashion & Retail","Germany",NA
"834",818,"Arkady Rotenberg",3.5,71,"Russia","Construction, pipes, banking","Construction & Engineering","Russia","Master of Arts/Science, Leningrad Institute of Physical Culture"
"835",818,"Remo Ruffini",3.5,61,"Italy","Winter jackets","Fashion & Retail","Italy",NA
"836",818,"Vivek Chaand Sehgal",3.5,66,"Australia","Auto parts","Automotive","Australia","Bachelor of Arts/Science, Delhi University"
"837",818,"Scott Shleifer",3.5,45,"United States","Private equity","Finance & Investments",NA,NA
"838",818,"Thomas Siebel",3.5,70,"United States","Business software","Technology","United States","Bachelor of Arts/Science, University of Illinois, Urbana-Champaign; Master of Business Administration, University of Illinois, Urbana-Champaign; Master of Science, University of Illinois, Urbana-Champaign"
"839",818,"Wim van der Leegte & family",3.5,75,"Netherlands","Manufacturing","Manufacturing","Netherlands",NA
"840",818,"Xiao Yongming & family",3.5,58,"China","Fertilizer","Diversified","China",NA
"841",818,"Michael Xie",3.5,54,"United States","Cybersecurity","Technology","United States","Bachelor of Arts/Science, Tsinghua University; Master of Science, Tsinghua University; Master of Science, University of Manitoba"
"842",818,"Yang Shaopeng",3.5,65,"China","Shipping","Logistics","China","Master of Business Administration, Asia Macau International Open University"
"843",818,"Nicoletta Zampillo",3.5,65,"Italy","Eyeglasses","Fashion & Retail","Italy",NA
"844",818,"Barry Zekelman",3.5,56,"Canada","Steel","Manufacturing","Canada","Drop Out, York University"
"845",852,"William Ackman",3.4,56,"United States","Hedge funds","Finance & Investments","United States","Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard University"
"846",852,"Somphote Ahunai",3.4,55,"Thailand","Renewable energy","Energy","Thailand","Master of Business Administration, Joseph M. Katz Graduate School of Business"
"847",852,"Igor Altushkin",3.4,52,"Russia","Metals","Metals & Mining","Russia","Bachelor of Arts/Science, Ekaterinburg Institute of Economics"
"848",852,"Ramon Ang",3.4,69,"Philippines","Diversified","Food & Beverage","Philippines","Bachelor of Engineering, Far Eastern University"
"849",852,"Acharya Balkrishna",3.4,50,"India","Consumer goods","Food & Beverage","India",NA
"850",852,"Markus Blocher",3.4,52,"Switzerland","Chemicals","Manufacturing","Switzerland",NA
"851",852,"Richard Branson",3.4,72,"United Kingdom","Virgin","Diversified","United Kingdom","Drop Out, High School"
"852",852,"Cho Jung-ho",3.4,64,"South Korea","Finance","Finance & Investments","South Korea","Master of Business Administration, IMD; Bachelor of Arts/Science, University of Southern California"
"853",852,"Alessandra Garavoglia",3.4,63,"Italy","Spirits","Food & Beverage","Italy","Bachelor of Social Sciences, University of Milan"
"854",852,"Laurence Graff & family",3.4,84,"United Kingdom","Diamond jewelry","Fashion & Retail","United Kingdom",NA
"855",852,"Amos Hostetter, Jr.",3.4,86,"United States","Cable television","Media & Entertainment","United States","Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University"
"856",852,"Robert Johnson",3.4,75,"United States","Johnson & Johnson, sports","Sports","United States",NA
"857",852,"Steven Klinsky",3.4,66,"United States","Investments","Finance & Investments","United States","Master of Business Administration, Harvard Business School; Doctor of Jurisprudence, Harvard Law School; Bachelor of Arts/Economics, University of Michigan, Ann Arbor"
"858",852,"William Lauder",3.4,62,"United States","Estee Lauder","Fashion & Retail","United States","Bachelor of Arts/Science, University of Pennsylvania"
"859",852,"John Middleton",3.4,68,"United States","Tobacco","Food & Beverage","United States","Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University"
"860",852,"Hiroshi Mikitani",3.4,58,"Japan","Online retail","Fashion & Retail","Japan","Master of Business Administration, Harvard University"
"861",852,"Bob Parsons",3.4,72,"United States","Web hosting","Technology","United States","Bachelor of Arts/Science, University of Baltimore"
"862",852,"J. Joe Ricketts & family",3.4,81,"United States","TD Ameritrade","Finance & Investments","United States","Bachelor of Arts/Science, Creighton University"
"863",852,"Herb Simon",3.4,88,"United States","Real estate","Real Estate","United States","Bachelor of Arts/Science, City College of New York"
"864",852,"Leena Tewari",3.4,65,"India","Pharmaceuticals","Healthcare","India","Master of Business Administration, Boston University; B.Com, University of Mumbai"
"865",852,"Stefan von Holtzbrinck",3.4,59,"Germany","Publishing","Media & Entertainment","Germany","Diploma, University of Munich"
"866",852,"Hans Peter Wild",3.4,81,"Switzerland","Flavorings","Food & Beverage","Switzerland",NA
"867",852,"Wu Guanjiang & family",3.4,54,"China","Pharmaceuticals","Healthcare","China",NA
"868",852,"Yi Zheng",3.4,52,"China","Software","Technology","China","Bachelor of Arts/Science, Zhejiang University"
"869",852,"Eric Yuan & family",3.4,53,"United States","Zoom Video Communications","Technology","United States","Master of Engineering Management, China University of Mining and Technology; Bachelor of Engineering, Shandong Institute of Business and Technology"
"870",852,"Charles Zegar",3.4,75,"United States","Bloomberg LP","Media & Entertainment","United States","Bachelor of Arts/Science, Long Island University; Master of Science, New York University"
"871",878,"Mohed Altrad",3.3,75,"France","Scaffolding, cement mixers","Construction & Engineering","France",NA
"872",878,"John Arnold",3.3,49,"United States","Hedge funds","Finance & Investments","United States","Bachelor of Arts/Science, Vanderbilt University"
"873",878,"Bill Austin",3.3,81,"United States","Hearing aids","Manufacturing","United States","High School Graduate, High School"
"874",878,"Chen Shibin",3.3,56,"China","Quartz products","Manufacturing","China",NA
"875",878,"Bennett Dorrance",3.3,77,"United States","Campbell Soup","Food & Beverage","United States","Bachelor of Arts/Science, University of Arizona"
"876",878,"Walter Faria",3.3,68,"Brazil","Beer","Food & Beverage","Brazil",NA
"877",878,"Walter Frey",3.3,79,"Switzerland","Car dealerships","Automotive","Switzerland","Bachelor of Business Administration, London School of Economics; Bachelor of Business Administration, University of Zurich"
"878",878,"Fu Liquan & family",3.3,55,"China","Surveillance equipment","Technology","China","Bachelor of Arts/Science, Zhejiang Shuren University; EMBA, Zhejiang University"
"879",878,"John Gandel",3.3,88,"Australia","Shopping malls","Real Estate","Australia","Doctorate, Monash University"
"880",878,"Peter Gilgan",3.3,72,"Canada","Homebuilding","Construction & Engineering","Canada",NA
"881",878,"Kwek Leng Beng",3.3,82,"Singapore","Diversified","Diversified","Singapore","LLB, University of London"
"882",878,"Pablo Legorreta",3.3,59,"United States","Investments","Finance & Investments","United States","Bachelor of Science in Engineering, Universidad Iberoamericana"
"883",878,"Arnon Milchan",3.3,78,"Israel","Movie making","Media & Entertainment","Israel",NA
"884",878,"Akio Nitori",3.3,79,"Japan","Home furnishings","Fashion & Retail","Japan",NA
"885",878,"Julio Ponce Lerou",3.3,77,"Chile","Fertilizer","Metals & Mining","Chile",NA
"886",878,"Rodger Riney & family",3.3,77,"United States","Discount brokerage","Finance & Investments","United States","Bachelor of Arts/Science, University of Missouri; Master of Business Administration, University of Missouri"
"887",878,"Phil Ruffin",3.3,88,"United States","Casinos, real estate","Diversified","United States","Drop Out, Wichita State University"
"888",878,"Naguib Sawiris",3.3,68,"Egypt","Telecom","Telecom","Egypt","Bachelor of Arts/Science, Swiss Federal Polytechnical Institute; Master of Science, Swiss Federal Polytechnical Institute"
"889",878,"Neil Shen",3.3,55,"Hong Kong","Venture capital","Finance & Investments",NA,NA
"890",878,"Gil Shwed",3.3,54,"Israel","Software","Technology","Israel",NA
"891",878,"Stephen Smith",3.3,71,"Canada","Finance and investments","Finance & Investments","Canada","Bachelor of Science in Engineering, Queens University"
"892",878,"Nik Storonsky",3.3,38,"United Kingdom","Fintech","Finance & Investments","United Kingdom","Master of Science, Moscow Institute of Physics and Technology"
"893",878,"Jeffrey Talpins",3.3,48,"United States","Hedge fund","Finance & Investments","United States","Bachelor of Arts/Science, Yale University"
"894",878,"Carl Thoma",3.3,74,"United States","Investments","Finance & Investments","United States","Bachelor of Science, Oklahoma State University; Master of Business Administration, Stanford Business School"
"895",878,"Todd Wanek",3.3,59,"United States","Furniture","Manufacturing","United States",NA
"896",878,"Xue Hua",3.3,53,"China","Agribusiness","Manufacturing","China","Bachelor of Arts/Science, Huazhong Agricultural University"
